Nom de l'entreprise,Domaine de compétences,Filière,Stages Proposés,Année de création,Nombre d'employés,Chiffre d'Affaires
Bouygues Telecom,"Innovation technologiques, télécommunications / réseau, IT, big data, marketing, commerce, finance, achats, juridique",Info,Data - IA - Chef de Projets - Déploiement - Développement - Ingénieur Réseau - Télécommunications - Architecture,1994,10 000,7 M € (2022)
CapGemini Technology,"Aéronautique, spatial, assurances, automobile, banque / finances, énergies et environnement, high tech, industrie, santé  sciences de la vie",Info,Dev JAVA - Ingénieur Industrie 4.0 - Ingénieur qualité automatisation de tests - PMO Chef de projet - Tests de Performance - Analyste Réseaux - Ingénieur systèmes - Administrateur Systèmes et Réseaux,1967,357 000,22 Milliards € (2023)
C Discount,E-commerce,Info,Administrateur Système & Réseau - Dev XP Client - Dev Net & React -  Ingénieur d'études - Software Engineer Net & React - Dev Data Engineer - ,1998,2 000,"3,5 Milliards € (2022)"
CELAD,"Banque, Assurance, Transport, Santé, Aéronautique, Spatial, Commerce, Distribution, Télécommunication, Energie, Administration",Info,Pas de Stage,1990,1500,125 M€
CGI France,"Développement, conseil en management/stratégie opérationnelle/transformation digitale cybersécurité, big data, IA",Info,Evolution d'un SI dans le secteur bancaire - Dev Java Angular Full Stack - Dev Mobile - ,1976,91 000,"12,87 Milliards $Canadiens (2022)"
Coopengo,Edition de logiciels,Info,Dev back-end Python,2012,45,"4,4 M€ (2021)"
Dedalus,E-Santé,Info,Pas de Stage,1982,7322,822 M€
Digistrat Consulting,Conseil en Technologies et solutions innovantes pour le secteur de la finance de marché,Info,"Offre de stage PFE Développeur Java Backend, Offre de stage PFE Commando FO Risk/PnL",2017,40,4 M€
Digital Production Simulation,"Automobile, Aéronautique, Défense, Ferroviaire",Info,"Ingénieur Dev logiciel scientifique, Ingénieur Dev Full Stack, Ingénieur Data Scientist",1997,140,11 M€
Exail,"Robotique, Aéronautique, Spatial, Photonique, Maritime, Navigation",Info,,2022,1500,250 M€
Expleo France,Conseil,Info,,2017,13 500,903 M €
Finaxys,"Conseil IT, Machine Learning, Blockchain, Data / Cloud, DevSecOps",Info,Dev Fullstack - Data Engineer - Infénieur DevOps - ,2003,350,39 M € (2022)
Fortil,"Aéronautique, Spatial, Défense, Automobile, Ferroviaire, Energie, Digital, Santé",Info,Reconception d’une batterie pour véhicule électrique demandant de fortes puissances,2009,2000,1 M€ (2022)
Gestform,Sous traitance administrative,Info,"Stage Développeur, Stage ingénierie cognitive",1986,420,(association)
Ippon Technologies,"Conseil et Expertise en Solutions Digitales Innovantes, fullstack, cloud, devops, data, agilité, architecture, mobile, produit",Info,,2002,650,78 M€ (2022)
Log'n'line,"Développement web, conseil, Formations, Cloud, Produit, Entreprenariat",Info,,2016,8, 600 k€
MADIC,"Energie, environnement automobile, Paiement sans surveillance, Parcours client",Info,,1971,450,2 M€
Margo Conseil,"Finance des marchés, Assurance, Energie, Industrie",Info,"Software Engineer Java, C#, C++, Python, Fullstack Software Engineer, Data Engineer, Data Scientist",2005,400,43 M€
Murex,Editeur de logiciels pour la finance,Info,"Client Services : Post Trade - Collateral Management, Trading - Validation de Calibration de Courbes dans le Forward Space, Trading - Validation de Produits LPI et Mise en Place d'Outils de Pricing, Trading - Validation Risk Based Profit & Loss, Trading FXO - Attribution de P&L pour des Produits Dérivés de Change, Trading Investment Management Compliance, Trading FX Cash & Derivatives, Market Risk - Validation Time Series & Scenarios                                                Produit Finance : Produits Financiers du Portefeuille Bancaire (3A), Assistant Product Manager (2A), PES - Securities Finance (3A), Projection des Revenus du Portefeuille Bancaire (3A), Risk-Based Profit & Loss pour Dérivés Actions, Mise en Place d'un Outil de Validation de Modèles - Module Equity Derivatives, Model Validation (3A), Consultant Fonctionnel et Produit - Front Office FX Cash (3A), XVA/PFE Analytics Solutions, FIX Orchestra : State of the Art                                        Développement Informatique : Quant - Reinforcement Learning & Local Volatility Calibration / Extension of Forward Market Model with Stochastic Volatility /Deep Learning for Large Time Step Monte Carlo Simulations / Physics-Informed Neural Networks/ Large Time Step Monte Carlo Simulation With Stochastic Volatility Model (2A), Dev Java - Scan Book Improvements (2A)/  Realtime Portofolio Management Services / Mxopenconnect Maven Plugins / Monitoring Activity Across Multiple Services / Automation of Aggregation Performance Tests / ""Reinvent the Catching Mechanisms of Reference Data Objects"" / Fullstack Angular and Java Engineer, Dev Java/C++ - Reinvent the Market Risk Communications & Algorithms,  Dev C++ / Refacturing du Module de Pricing / Position Evaluation Chain / Historization of Scenarios / , Dev - Improvement of The Market Data Service Architecture / Développement d'un Débugger pour le Langage Propriétaire MSL, Python - Dashboarding Solution for CI Server and Team KPIS (2A), WEB : Développement d'un Outil d'Aide à la Décision pour la Définition des Roadmaps / Développement d'un Configurateur de Vue",1986,2 700,710 M € (2022)
Naval Group,"Industrie Navale de Défense, Energies Marines Renouvelables, Nucléaire Civil",Info,,1631,15 000,"3,7 M€ (2022)"
NXP Semiconductors,"Automotive, IoT, Connectivité et sécurité, informatique industrielle, micro électronique, systèmes embarqués, traitement du signal",Info,"Ingénieur, Assistant Ingénieur",2006,1000,12 M€ (2022
One Point,"Secteur du numérique, Energie, Vente, Télécommunication, Secteur public, Médias",Info,"Cybersécuité, Développeurs JAVA",2002,3300,500 M€
Orange,"Opérateur numérique, services financiers mobiles, cybersécurité, réseaux, IA/Data, cloud, cybersécurité",Info,,1988,140 000,42 Milliards € (2022)
Padok,"DevOps, Cloud, Automatisation",Info,Création d'infrastructures from Scratch sur Cloud ou Cloud Hybride - Migrations Cloud et Kubernetes - Mise en place et Automatisation de la chaîne de CI/CD - Accompagnement des équipes de devs dans une démarche DevOps,2018,40,3 M€ (2022)
Pôle Emploi,Informatique,Info,,2008,1600,
Safran Electronics & Defense,"Aéronautique, défense, spatial",Info,,1925,10 000,19 Milliards € (2022)
Schlumberger,Industrie énergétique,Info,,1926,96000,26 M€ (2022)
Smile,"ESN, open-source, Energie, Santé, immobilier, gouvernement, défense",Info,"Développement (Java, Php, Javascript, Python,...) en infrastructure, Devops, Cloud, Embarqué",1991,2000,160 M€
Société pour l'Informatique Industrielle,Conseil en Technologies et des Services du Numérique,Info,Bientôt transmis,1979,18 000,1 Milliard € (2022)
Solutec,"Télécommunication et médias, Industrie, Transport, Services, Grande distribution, Energies, Banques et Assurances, Santé",Info,"Développement Applicatif (Web), Développement Applicatif (Mobile), DevOps / Infra, Gestion de projet, Innovation",1991,1500,91 M€
Sopra Steria,"Conseil, services numériques, édition de logiciels",Info,"Dev Java, Data Analyst, Business Analyst",1968,50 000,"4,4 Milliards € (2019)"
Stilog Ist,"Aéronautique, Défense, Mécanique, Energie, Informatique",Info,"Stage ""Perfos Ansys Workbench"", Stage « Refonte solveur de post traitement de résultats Eléments finis », Stage "" 3D OpenGL""",1991,152,14 M€
SQLI,"Luxe, Energie, Viticole, Banque, Assurances",Info,"Conception et développement d’applications en utilisant les technologies autour de l’écosystème JAVA (Maven, Spring, API Rest…)",1990,2000,226 M€
Sys1,Entreprise de Services du Numérique,Info,"Stagiaire Ingénieur Système et Réseau H/F, Stagiaire Administrateur Système et Réseau H/F",1994,90,12 M€
Talan,Fonds de Placement et Entités Financières Similaires,Info,"Stage Consultant Technique Salesforce - H/F, Engineering & Development IT",2009,172,22 M€
TDM,"Aéronautique, Equipements vidéo embarqués, Anti-missile",Info,"Eléve ingénieur en VHDL, Eléve ingénieur en électronique hardware et architecture électronique, Eléve ingénieur en logiciel embarqué c sous Linux",1994,30,"3,5 M€"
TechnicAtome,"Nucléaire, armée, hydraulique, neutronique, architecture système",Info,Stages proposés dans l'ingénierie nucléaire,1972,2 000,500 M € (2022)
Technology and Strategy Group,"Conseil en Ingénierie, Automobile, Défense, Biomédical, Banquaire, Luxe",Info,,2008,3500,180 M€ (2019)
Tehtris,Cybersécurité,Info,,2010,260,"3,5 M€ (2019)"
Wavestone,"Digital, systèmes d'information en cybersécurité, conseil, business development",Info,,1990,4 000,532 M € (2022)
XRays Trading,Ingénierie en Finance de Marché,Info,Ingénieur Dev / Ingénieur Prod,2004,40,"4,4 M € (2022)"
4SH,"Informatique, Développement, UX",RSI,"Développeur·se (Kotlin, Java, MongoDB, Kubernetes, ...), Product Owner, Ingénieur·e Infrastructure Cloud",2007,92,"7,6 M€"
Accenture,"Conseil en Stratégies, conseil en management, conseil en technologies",RSI,,1989,700 000,50 Milliards $ (2021)
AFD Technologies,Conseil en Transformation Digitale,RSI,"Dev Java ou React, Chef de Projet",1998,2 000,51 M€ (2022)
APSIDE,"Industrie, Aéronautique, Défense, Informatique, Bancaire",RSI,,1976,3000,220 M€
Artelia,"Ingénierie de la mobilité de l'eau, de l'energie, du bâtiment et de l'industrie",RSI,"Ingénieur/Ingénieure conduite de projet MOEx, Ingénieur / Ingénieure suivi de travaux - Projets Résidentiels et Mixtes, tage de Césure - Ingénieur / Ingénieure - Projets de Façades Légères & Verrières, Outils Conception Environnementale,Ingénieur / Ingénieure d'études CVC, Stage Innovation et Ouvrages d’art F/H, Stage - Chef/Cheffe de projet AMO Programmation, Stage Ingénieur/ Ingénieure Génie Industriel",2010,7300,833 M€
Ausy,Technologie Digitale,RSI,Développeurs Fullstack,1989,25 000,253 M€ (2022)
Axyus,"Servies du secteur public, inteliigence artificielle, performances applicatives, analyse de marché, ",RSI,Utilisation de l'IA Génératrice pour l'Optimisation et l'Automatisation du Dev - Etude de Marché des Outils d'APM et Mise en Oeuvre dans le Squelette des Applicatifs - Conception et Industrialisation d'une Solution d'Habilitations Transverses à l'Entreprise avec Gestion du Vieillissement,2000,190,"22,5 M € (2022)"
BeTomorrow,"Cloud, mobile, web, architecture logicielle, inteliigence artificielle, réalité augmentée, design et loT, data engineering",RSI,Dév mobile et Front-End - Dev Back-End - Dev Data BI - Dev Fullstack - IA/LLM,2002,80,7 M€ (2022)
Bouygues Telecom,"Innovation technologiques, télécommunications / réseau, IT, big data, marketing, commerce, finance, achats, juridique",RSI,Data - IA - Chef de Projets - Déploiement - Développement - Ingénieur Réseau - Télécommunications - Architecture,1994,10 000,7 M € (2022)
CapGemini Technology,"Aéronautique, spatial, assurances, automobile, banque / finances, énergies et environnement, high tech, industrie, santé  sciences de la vie",RSI,Dev JAVA - Ingénieur Industrie 4.0 - Ingénieur qualité automatisation de tests - PMO Chef de projet - Tests de Performance - Analyste Réseaux - Ingénieur systèmes - Administrateur Systèmes et Réseaux,1967,357 000,22 Milliards € (2023)
C Discount,E-commerce,RSI,Administrateur Système & Réseau - Dev XP Client - Dev Net & React -  Ingénieur d'études - Software Engineer Net & React - Dev Data Engineer - ,1998,2 000,"3,5 Milliards € (2022)"
CELAD,"Banque, Assurance, Transport, Santé, Aéronautique, Spatial, Commerce, Distribution, Télécommunication, Energie, Administration",RSI,Pas de Stage,1990,1500,125 M€
Dedalus,E-Santé,RSI,Pas de Stage,1982,7322,822 M€
Digistrat Consulting,Conseil en Technologies et solutions innovantes pour le secteur de la finance de marché,RSI,"Offre de stage PFE Développeur Java Backend, Offre de stage PFE Commando FO Risk/PnL",2017,40,4 M€
Fortil,"Aéronautique, Spatial, Défense, Automobile, Ferroviaire, Energie, Digital, Santé",RSI,Reconception d’une batterie pour véhicule électrique demandant de fortes puissances,2009,2000,1 M€ (2022)
MADIC,"Energie, environnement automobile, Paiement sans surveillance, Parcours client",RSI,,1971,450,2 M€
NXP Semiconductors,"Automotive, IoT, Connectivité et sécurité, informatique industrielle, micro électronique, systèmes embarqués, traitement du signal",RSI,"Ingénieur, Assistant Ingénieur",2006,1000,12 M€ (2022
One Point,"Secteur du numérique, Energie, Vente, Télécommunication, Secteur public, Médias",RSI,"Cybersécuité, Développeurs JAVA",2002,3300,500 M€
Pôle Emploi,Informatique,RSI,,2008,1600,
Safran Electronics & Defense,"Aéronautique, défense, spatial",RSI,,1925,10 000,19 Milliards € (2022)
Schlumberger,Industrie énergétique,RSI,,1926,96000,26 M€ (2022)
Segula Technologies,"Automobile, aéronautique, énergie, ferroviaire, naval, pharmacie, oil and gas",RSI,Industrial Planner - Technicien Méthodes - Ingénieur Qualité Projet,1985,13 000,23 M€ (2022)
Smile,"ESN, open-source, Energie, Santé, immobilier, gouvernement, défense",RSI,"Développement (Java, Php, Javascript, Python,...) en infrastructure, Devops, Cloud, Embarqué",1991,2000,160 M€
Société pour l'Informatique Industrielle,Conseil en Technologies et des Services du Numérique,RSI,Bientôt transmis,1979,18 000,1 Milliard € (2022)
Sopra Steria,"Conseil, services numériques, édition de logiciels",RSI,"Dev Java, Data Analyst, Business Analyst",1968,50 000,"4,4 Milliards € (2019)"
Stilog Ist,"Aéronautique, Défense, Mécanique, Energie, Informatique",RSI,"Stage ""Perfos Ansys Workbench"", Stage « Refonte solveur de post traitement de résultats Eléments finis », Stage "" 3D OpenGL""",1991,152,14 M€
Sys1,Entreprise de Services du Numérique,RSI,"Stagiaire Ingénieur Système et Réseau H/F, Stagiaire Administrateur Système et Réseau H/F",1994,90,12 M€
TDM,"Aéronautique, Equipements vidéo embarqués, Anti-missile",RSI,"Eléve ingénieur en VHDL, Eléve ingénieur en électronique hardware et architecture électronique, Eléve ingénieur en logiciel embarqué c sous Linux",1994,30,"3,5 M€"
TechnicAtome,"Nucléaire, armée, hydraulique, neutronique, architecture système",RSI,Stages proposés dans l'ingénierie nucléaire,1972,2 000,500 M € (2022)
Tehtris,Cybersécurité,RSI,,2010,260,"3,5 M€ (2019)"
Wavestone,"Digital, systèmes d'information en cybersécurité, conseil, business development",RSI,,1990,4 000,532 M € (2022)
XRays Trading,Ingénierie en Finance de Marché,RSI,Ingénieur Dev / Ingénieur Prod,2004,40,"4,4 M € (2022)"
3D Plus,Spatial,SEE,,1995,270,70 M€
AECE,"Aéronautique, Défense",SEE,"Automatisme, Informatique Industrielle, Développement Software embarqué, Conception électronique de puissance, Conception mécanique, Méthodes",1981,220,30 M€
APSIDE,"Industrie, Aéronautique, Défense, Informatique, Bancaire",SEE,,1976,3000,220 M€
Ausy,Technologie Digitale,SEE,Développeurs Fullstack,1989,25 000,253 M€ (2022)
CapGemini Technology,"Aéronautique, spatial, assurances, automobile, banque / finances, énergies et environnement, high tech, industrie, santé  sciences de la vie",SEE,Dev JAVA - Ingénieur Industrie 4.0 - Ingénieur qualité automatisation de tests - PMO Chef de projet - Tests de Performance - Analyste Réseaux - Ingénieur systèmes - Administrateur Systèmes et Réseaux,1967,357 000,22 Milliards € (2023)
CELAD,"Banque, Assurance, Transport, Santé, Aéronautique, Spatial, Commerce, Distribution, Télécommunication, Energie, Administration",SEE,Pas de Stage,1990,1500,125 M€
Digistrat Consulting,Conseil en Technologies et solutions innovantes pour le secteur de la finance de marché,SEE,"Offre de stage PFE Développeur Java Backend, Offre de stage PFE Commando FO Risk/PnL",2017,40,4 M€
ECM,"Conseil en Technologies, aéronautique, automobile, défense, navale, ferroviaire, énergie",SEE,"Ingénieur Méthodes, Ingénieur Conception, Ingénieur Calcul",2004,450,25 M € (2022)
Evbox,"Fabrication d'équipement électrique,  Energies renouvelables",SEE,"Ingénieur d'essais, ingénieur embarqué",2007,700,18 M€ (2022)
Exoes,"Transport, Thermique",SEE,,2009,40,5 M€
Exail,"Robotique, Aéronautique, Spatial, Photonique, Maritime, Navigation",SEE,,2022,1500,250 M€
Fortil,"Aéronautique, Spatial, Défense, Automobile, Ferroviaire, Energie, Digital, Santé",SEE,Reconception d’une batterie pour véhicule électrique demandant de fortes puissances,2009,2000,1 M€ (2022)
LGM,"Conception, Développement, Test et Intégration d'équipements électroniques complexes",SEE,,2007,200,150 M€ 
MADIC,"Energie, environnement automobile, Paiement sans surveillance, Parcours client",SEE,,1971,450,2 M€
Murex,Editeur de logiciels pour la finance,SEE,"Client Services : Post Trade - Collateral Management, Trading - Validation de Calibration de Courbes dans le Forward Space, Trading - Validation de Produits LPI et Mise en Place d'Outils de Pricing, Trading - Validation Risk Based Profit & Loss, Trading FXO - Attribution de P&L pour des Produits Dérivés de Change, Trading Investment Management Compliance, Trading FX Cash & Derivatives, Market Risk - Validation Time Series & Scenarios                                                Produit Finance : Produits Financiers du Portefeuille Bancaire (3A), Assistant Product Manager (2A), PES - Securities Finance (3A), Projection des Revenus du Portefeuille Bancaire (3A), Risk-Based Profit & Loss pour Dérivés Actions, Mise en Place d'un Outil de Validation de Modèles - Module Equity Derivatives, Model Validation (3A), Consultant Fonctionnel et Produit - Front Office FX Cash (3A), XVA/PFE Analytics Solutions, FIX Orchestra : State of the Art                                        Développement Informatique : Quant - Reinforcement Learning & Local Volatility Calibration / Extension of Forward Market Model with Stochastic Volatility /Deep Learning for Large Time Step Monte Carlo Simulations / Physics-Informed Neural Networks/ Large Time Step Monte Carlo Simulation With Stochastic Volatility Model (2A), Dev Java - Scan Book Improvements (2A)/  Realtime Portofolio Management Services / Mxopenconnect Maven Plugins / Monitoring Activity Across Multiple Services / Automation of Aggregation Performance Tests / ""Reinvent the Catching Mechanisms of Reference Data Objects"" / Fullstack Angular and Java Engineer, Dev Java/C++ - Reinvent the Market Risk Communications & Algorithms,  Dev C++ / Refacturing du Module de Pricing / Position Evaluation Chain / Historization of Scenarios / , Dev - Improvement of The Market Data Service Architecture / Développement d'un Débugger pour le Langage Propriétaire MSL, Python - Dashboarding Solution for CI Server and Team KPIS (2A), WEB : Développement d'un Outil d'Aide à la Décision pour la Définition des Roadmaps / Développement d'un Configurateur de Vue",1986,2 700,710 M € (2022)
Safran Electronics & Defense,"Aéronautique, défense, spatial",SEE,,1925,10 000,19 Milliards € (2022)
Schlumberger,Industrie énergétique,SEE,,1926,96000,26 M€ (2022)
SERMA,"Aéronautique, Spatial, Ferroviaire, Militaire, Défense, Automobile, Télécom, Industrie, Médical",SEE,"Ingénieur sureté de fonctionnement logiciel, Ingénieur sureté de fonctionnement système, Ingénieur sureté de fonctionnement matériel, Ingénieur en FPGA, Ingénieur en conception d'ASIC",1991,1300,170 M€
Segula Technologies,"Automobile, aéronautique, énergie, ferroviaire, naval, pharmacie, oil and gas",SEE,Industrial Planner - Technicien Méthodes - Ingénieur Qualité Projet,1985,13 000,23 M€ (2022)
Smile,"ESN, open-source, Energie, Santé, immobilier, gouvernement, défense",SEE,"Développement (Java, Php, Javascript, Python,...) en infrastructure, Devops, Cloud, Embarqué",1991,2000,160 M€
Société pour l'Informatique Industrielle,Conseil en Technologies et des Services du Numérique,SEE,Bientôt transmis,1979,18 000,1 Milliard € (2022)
TDM,"Aéronautique, Equipements vidéo embarqués, Anti-missile",SEE,"Eléve ingénieur en VHDL, Eléve ingénieur en électronique hardware et architecture électronique, Eléve ingénieur en logiciel embarqué c sous Linux",1994,30,"3,5 M€"
TechnicAtome,"Nucléaire, armée, hydraulique, neutronique, architecture système",SEE,Stages proposés dans l'ingénierie nucléaire,1972,2 000,500 M € (2022)
Technology and Strategy Group,"Conseil en Ingénierie, Automobile, Défense, Biomédical, Banquaire, Luxe",SEE,,2008,3500,180 M€ (2019)
XRays Trading,Ingénierie en Finance de Marché,SEE,Ingénieur Dev / Ingénieur Prod,2004,40,"4,4 M € (2022)"
Greenerwave,"Détection, Connectivité, ",SEE,,60,60,"2,6 M€ (2022)"